CompanyName / Deploying Entity* [EMPLOYER],Year,Ommitted?,AEDTVendor,AuditProvider,Date of Audit,Date Captured,Female_nApplicants,Female_nSelected,Female_SelectionRate,Female_ImpactRatio,Male_nApplicants,Male_nSelected,Male_SelectionRate,Male_ImpactRatio,Asian_nApplicants,Asian_nSelected,Asian_SelectionRate,Asian_ImpactRatio,Black_nApplicants,Black_nSelected,Black_SelectionRate,Black_ImpactRatio,Hispanic_nApplicants,Hispanic_nSelected,Hispanic_SelectionRate,Hispanic_ImpactRatio,MultiRace_nApplicants,MultiRace_nSelected,MultiRace_SelectionRate,MultiRace_ImpactRatio,White_nApplicants,White_nSelected,White_SelectionRate,White_ImpactRatio,Native_nApplicants,Native_nSelected,Native_SelectionRate,Native_ImpactRatio,PacificIslander_nApplicants,PacificIslander_nSelected,PacificIslander_SelectionRate,PacificIslander_ImpactRatio,Asian_Female_nApplicants,Asian_Female_nSelected,Asian_Female_SelectionRate,Asian_Female_ImpactRatio,Black_Female_nApplicants,Black_Female_nSelected,Black_Female_SelectionRate,Black_Female_ImpactRatio,Hispanic_Female_nApplicants,Hispanic_Female_nSelected,Hispanic_Female_SelectionRate,Hispanic_Female_ImpactRatio,MultiRace_Female_nApplicants,MultiRace_Female_nSelected,MultiRace_Female_SelectionRate,MultiRace_Female_ImpactRatio,White_Female_nApplicants,White_Female_nSelected,White_Female_SelectionRate,White_Female_ImpactRatio,Native_Female_nApplicants,Native_Female_nSelected,Native_Female_SelectionRate,Native_Female_ImpactRatio,PacificIslander_Female_nApplicants,PacificIslander_Female_nSelected,PacificIslander_Female_SelectionRate,PacificIslander_Female_ImpactRatio,Asian_Male_nApplicants,Asian_Male_nSelected,Asian_Male_SelectionRate,Asian_Male_ImpactRatio,Black_Male_nApplicants,Black_Male_nSelected,Black_Male_SelectionRate,Black_Male_ImpactRatio,Hispanic_Male_nApplicants,Hispanic_Male_nSelected,Hispanic_Male_SelectionRate,Hispanic_Male_ImpactRatio,MultiRace_Male_nApplicants,MultiRace_Male_nSelected,MultiRace_Male_SelectionRate,MultiRace_Male_ImpactRatio,White_Male_nApplicants,White_Male_nSelected,White_Male_SelectionRate,White_Male_ImpactRatio,Native_Male_nApplicants,Native_Male_nSelected,Native_Male_SelectionRate,Native_Male_ImpactRatio,PacificIslander_Male_nApplicants,PacificIslander_Male_nSelected,PacificIslander_Male_SelectionRate,PacificIslander_Male_ImpactRatio
Paradox,2023,N,Paradox's Traitify Tool,Holistic AI,6/12/2023,Capture from 11/02/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradox,2024,N,Paradox's Traitify Tool,Holistic AI,5/6/2024,Capture from 9/27/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paramount,2023,N,Pymetrics,BABL AI,,8/5/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paypal,2023,N,Eightfold AI,BABL AI,,8/5/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfizer,2023,N,HireVue (various assessments),DCI Consulting Group,7/5/2023,Capture from 11/03/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenom,2024,N,Phenom Fit Score,Conductor AI,04/04/2024,"Capture of Phenom Fit Score Report 2024 from 10/16/24
Capture of Phenom Bias Audit 10/16/24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualcomm,,N,Eightfold AI,BABL AI,,8/5/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reejig,2023,N,Reejig Ethical Talent AI,Holistic AI,11/30/2023,Capture from 1/03/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RippleMatch ,2023,N,RippleMatch Fit Score Algorithm,BABL AI,6/22/2023,Capture from 11/03/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RippleMatch ,2024,N,RippleMatch Fit Score Algorithm,BABL AI,6/27/2024,Capture from 9/24/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmartRecruiters,2024,N,SmartAssistant,Conductor AI,8/2/2024,Capture from 10/16/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hartford,2023,N,Unknown/Not Disclosed,DCI Consulting Group,7/5/2023,Capture from 8/11/23,119,,0.76,1,21,,0.71,0.93,3,,0.67,0.72,58,,0.76,0.82,47,,0.74,0.8,14,,0.93,1,15,,0.6,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wells Fargo,2023,N,Unknown [Selection Rate for Threshold 3 -  MAX],DCI Consulting Group,7/5/2023,Capture from 11/03/23,409,TBC,47.00%,0.89,240,TBC,0.53,1,88,TBC,0.4,0.67,217,TBC,0.51,0.86,206,TBC,0.48,0.8,37,TBC,0.59,1,77,TBC,0.45,0.76,5,TBC,0.8,NA,3,TBC,0.67,NA,49,TBC,0.37,0.57,164,TBC,0.51,0.78,144,TBC,0.44,0.68,20,TBC,0.55,0.85,40,TBC,0.38,0.58,,,,,,,,,39,TBC,0.44,0.67,53,TBC,0.53,0.82,89,TBC,0.53,0.82,17,TBC,0.65,1,36,TBC,0.53,0.82,,,,,,,,
Alidoro [OMITTED - No Selection Rate Provided],2023,Y,Landed,Conductor AI,06/27/23,Capture from 10/16/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryq [OMITTED - No Selection Rate Provided],2023,Y,Bryq Talent Intelligence,Holistic AI,5/15/2023,Capture from 4/24/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryq [OMITTED - No Selection Rate Provided],2024,Y,Bryq Talent Intelligence,Holistic AI,5/17/2024,Capture from 10/1/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducera Partners LLC [OMITTED - No Selection Rate Provided],2023,Y,Suited Investment Banking,Holistic AI,,8/5/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
